=~=~=~=~=~=~=~=~=~=~=~= MobaXterm log 2021.03.20 14:39:13 =~=~=~=~=~=~=~=~=~=~=~=
3,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
C3,1693,1693
